autolabel_map.feature,autolabel_map.tag,autolabel_map.cnt,autolabel_map.month,autolabel_map.day
ft_dev_battery_use_90d_weekday_worktime_hours,2,355988,201910,20191016
ft_dev_battery_use_90d_weekday_worktime_hours,3,216766,201910,20191016
ft_dev_battery_use_90d_weekday_worktime_hours,4,96159,201910,20191016
ft_dev_battery_use_90d_weekday_worktime_hours,blank,9716892,201910,20191016
ft_dev_battery_use_90d_weekday_closetime_hours,0,6975827,201910,20191016
ft_dev_battery_use_90d_weekday_closetime_hours,1,777961,201910,20191016
ft_dev_battery_use_90d_weekday_closetime_hours,2,366579,201910,20191016
ft_dev_battery_use_90d_weekday_closetime_hours,3,233368,201910,20191016
ft_dev_battery_use_90d_weekday_closetime_hours,4,107551,201910,20191016
ft_dev_battery_use_90d_weekday_closetime_hours,blank,9716892,201910,20191016
ft_dev_battery_use_90d_weekday_nighttime_hours,0,7967796,201910,20191016
ft_dev_battery_use_90d_weekday_nighttime_hours,1,290955,201910,20191016
ft_dev_battery_use_90d_weekday_nighttime_hours,2,118560,201910,20191016
ft_dev_battery_use_90d_weekday_nighttime_hours,3,59981,201910,20191016
ft_dev_battery_use_90d_weekday_nighttime_hours,4,23994,201910,20191016
ft_dev_battery_use_90d_weekday_nighttime_hours,blank,9716892,201910,20191016
ft_dev_battery_use_90d_weekend_allday_hours,0,7305779,201910,20191016
ft_dev_battery_use_90d_weekend_allday_hours,1,668757,201910,20191016
ft_dev_battery_use_90d_weekend_allday_hours,2,310993,201910,20191016
ft_dev_battery_use_90d_weekend_allday_hours,3,146359,201910,20191016
ft_dev_battery_use_90d_weekend_allday_hours,4,29398,201910,20191016
ft_dev_battery_use_90d_weekend_allday_hours,blank,9716892,201910,20191016
ft_dev_ip_30d_whole_allday_cnt,0,10889753,201910,20191016
ft_dev_ip_30d_whole_allday_cnt,1,22,201910,20191016
ft_dev_ip_30d_whole_allday_cnt,2,6,201910,20191016
ft_dev_ip_30d_whole_allday_cnt,3,15,201910,20191016
ft_dev_ip_30d_whole_allday_cnt,4,4,201910,20191016
ft_dev_ip_30d_whole_allday_cnt,blank,7288378,201910,20191016
ft_dev_wifimac_30d_whole_allday_cnt,0,10889707,201910,20191016
ft_dev_wifimac_30d_whole_allday_cnt,1,77,201910,20191016
ft_dev_wifimac_30d_whole_allday_cnt,2,4,201910,20191016
ft_dev_wifimac_30d_whole_allday_cnt,3,7,201910,20191016
ft_dev_wifimac_30d_whole_allday_cnt,4,5,201910,20191016
ft_dev_wifimac_30d_whole_allday_cnt,blank,7288378,201910,20191016
ft_dev_wifimac_30d_whole_allday_days,0,5073252,201910,20191016
ft_dev_wifimac_30d_whole_allday_days,1,1876815,201910,20191016
ft_dev_wifimac_30d_whole_allday_days,2,1206125,201910,20191016
ft_dev_wifimac_30d_whole_allday_days,3,1004805,201910,20191016
ft_dev_wifimac_30d_whole_allday_days,4,1728803,201910,20191016
ft_dev_wifimac_30d_whole_allday_days,blank,7288378,201910,20191016
ft_dev_ip_30d_whole_worktime_cnt,0,10889746,201910,20191016
