feature|tag|min_value|max_value
ft_dev_ip_30d_weekday_closetime_cnt|1|555.2|1110.4
ft_dev_ip_30d_weekday_closetime_cnt|2|1110.4|1665.6
ft_dev_ip_30d_weekday_closetime_cnt|3|1665.6|2220.8
ft_dev_ip_30d_weekday_closetime_cnt|4|2220.8|inf
ft_dev_ip_30d_weekday_nighttime_cnt|0|-inf|506.4
ft_dev_ip_30d_weekday_nighttime_cnt|1|506.4|1012.8
ft_dev_ip_30d_weekday_nighttime_cnt|2|1012.8|1519.2
ft_dev_ip_30d_weekday_nighttime_cnt|3|1519.2|2025.6
ft_dev_ip_30d_weekday_nighttime_cnt|4|2025.6|inf
ft_dev_ip_30d_weekend_allday_cnt|0|-inf|920.8
ft_dev_ip_30d_weekend_allday_cnt|1|920.8|1841.6
ft_dev_ip_30d_weekend_allday_cnt|2|1841.6|2762.4
ft_dev_ip_30d_weekend_allday_cnt|3|2762.4|3683.2
ft_dev_ip_30d_weekend_allday_cnt|4|3683.2|inf
ft_dev_wifimac_30d_whole_worktime_cnt|0|-inf|183.0
ft_dev_wifimac_30d_whole_worktime_cnt|1|183.0|366.0
ft_dev_wifimac_30d_whole_worktime_cnt|2|366.0|549.0
ft_dev_wifimac_30d_whole_worktime_cnt|3|549.0|732.0
ft_dev_wifimac_30d_whole_worktime_cnt|4|732.0|inf
ft_dev_wifimac_30d_whole_closetime_cnt|0|-inf|116.2
ft_dev_wifimac_30d_whole_closetime_cnt|1|116.2|232.4
ft_dev_wifimac_30d_whole_closetime_cnt|2|232.4|348.6
ft_dev_wifimac_30d_whole_closetime_cnt|3|348.6|464.8
ft_dev_wifimac_30d_whole_closetime_cnt|4|464.8|inf
ft_dev_wifimac_30d_whole_nighttime_cnt|0|-inf|101.8
ft_dev_wifimac_30d_whole_nighttime_cnt|1|101.8|203.6
ft_dev_wifimac_30d_whole_nighttime_cnt|2|203.6|305.4
ft_dev_wifimac_30d_whole_nighttime_cnt|3|305.4|407.2
ft_dev_wifimac_30d_whole_nighttime_cnt|4|407.2|inf
ft_dev_wifimac_30d_weekday_allday_cnt|0|-inf|172.6
ft_dev_wifimac_30d_weekday_allday_cnt|1|172.6|345.2
ft_dev_wifimac_30d_weekday_allday_cnt|2|345.2|517.8
ft_dev_wifimac_30d_weekday_allday_cnt|3|517.8|690.4
ft_dev_wifimac_30d_weekday_allday_cnt|4|690.4|inf
ft_dev_wifimac_30d_weekday_worktime_cnt|0|-inf|137.4
ft_dev_wifimac_30d_weekday_worktime_cnt|1|137.4|274.8
ft_dev_wifimac_30d_weekday_worktime_cnt|2|274.8|412.2
ft_dev_wifimac_30d_weekday_worktime_cnt|3|412.2|549.6
ft_dev_wifimac_30d_weekday_worktime_cnt|4|549.6|inf
ft_dev_wifimac_30d_weekday_closetime_cnt|0|-inf|109.6
ft_dev_wifimac_30d_weekday_closetime_cnt|1|109.6|219.2
ft_dev_wifimac_30d_weekday_closetime_cnt|2|219.2|328.8
ft_dev_wifimac_30d_weekday_closetime_cnt|3|328.8|438.4
ft_dev_wifimac_30d_weekday_closetime_cnt|4|438.4|inf
ft_dev_wifimac_30d_weekday_nighttime_cnt|0|-inf|96.8
ft_dev_wifimac_30d_weekday_nighttime_cnt|1|96.8|193.6
ft_dev_wifimac_30d_weekday_nighttime_cnt|2|193.6|290.4
ft_dev_wifimac_30d_weekday_nighttime_cnt|3|290.4|387.2
ft_dev_wifimac_30d_weekday_nighttime_cnt|4|387.2|inf
ft_dev_wifimac_30d_weekend_allday_cnt|0|-inf|119.2
ft_dev_wifimac_30d_weekend_allday_cnt|1|119.2|238.4
ft_dev_wifimac_30d_weekend_allday_cnt|2|238.4|357.6
ft_dev_wifimac_30d_weekend_allday_cnt|3|357.6|476.8
ft_dev_wifimac_30d_weekend_allday_cnt|4|476.8|inf
ft_dev_wifimac_30d_whole_worktime_days|0|-inf|6.0
ft_dev_wifimac_30d_whole_worktime_days|1|6.0|12.0
ft_dev_wifimac_30d_whole_worktime_days|2|12.0|18.0
ft_dev_wifimac_30d_whole_worktime_days|3|18.0|24.0
ft_dev_wifimac_30d_whole_worktime_days|4|24.0|inf
ft_dev_wifimac_30d_whole_closetime_days|0|-inf|6.0
ft_dev_wifimac_30d_whole_closetime_days|1|6.0|12.0
ft_dev_wifimac_30d_whole_closetime_days|2|12.0|18.0
ft_dev_wifimac_30d_whole_closetime_days|3|18.0|24.0
ft_dev_wifimac_30d_whole_closetime_days|4|24.0|inf
ft_dev_wifimac_30d_whole_nighttime_days|0|-inf|6.0
ft_dev_wifimac_30d_whole_nighttime_days|1|6.0|12.0
ft_dev_wifimac_30d_whole_nighttime_days|2|12.0|18.0
