feature|if_continuous|tag|min_value|max_value|chinese_name
ft_dev_battery_full_90d_whole_allday_hours|1|3|1296.0|1728.0|近90天全天满电状态小时数
ft_dev_battery_full_90d_whole_allday_hours|1|4|1728.0|inf|近90天全天满电状态小时数
ft_dev_battery_full_90d_weekday_allday_hours|1|0|-inf|307.2|近90天工作日满电状态小时数
ft_dev_battery_full_90d_weekday_allday_hours|1|1|307.2|614.4|近90天工作日满电状态小时数
ft_dev_battery_full_90d_weekday_allday_hours|1|2|614.4|921.6|近90天工作日满电状态小时数
ft_dev_battery_full_90d_weekday_allday_hours|1|3|921.6|1228.8|近90天工作日满电状态小时数
ft_dev_battery_full_90d_weekday_allday_hours|1|4|1228.8|inf|近90天工作日满电状态小时数
ft_dev_battery_full_90d_weekend_allday_hours|1|0|-inf|124.8|近90天周末满电状态小时数
ft_dev_battery_full_90d_weekend_allday_hours|1|1|124.8|249.6|近90天周末满电状态小时数
ft_dev_battery_full_90d_weekend_allday_hours|1|2|249.6|374.4|近90天周末满电状态小时数
ft_dev_battery_full_90d_weekend_allday_hours|1|3|374.4|499.2|近90天周末满电状态小时数
ft_dev_battery_full_90d_weekend_allday_hours|1|4|499.2|inf|近90天周末满电状态小时数
ft_dev_battery_charge_90d_whole_allday_hours|1|0|-inf|432.0|近90天全天充电状态小时数
ft_dev_battery_charge_90d_whole_allday_hours|1|1|432.0|864.0|近90天全天充电状态小时数
ft_dev_battery_charge_90d_whole_allday_hours|1|2|864.0|1296.0|近90天全天充电状态小时数
ft_dev_battery_charge_90d_whole_allday_hours|1|3|1296.0|1728.0|近90天全天充电状态小时数
ft_dev_battery_charge_90d_whole_allday_hours|1|4|1728.0|inf|近90天全天充电状态小时数
